Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
7981,CA-2014-103800,1/3/2014,1/7/2014,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,2,0.2,5.5512
7475,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,,9,0,746.4078
7661,CA-2014-105417,1/7/2014,1/12/2014,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.728,3,0.6,-53.7096
764,CA-2014-162775,13/40/2016,1/15/2014,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11.36,2,0,5.3392
4939,CA-2014-157147,1/13/2014,1/18/2014,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,3,0.15,3.9294
972,CA-2014-115791,1/16/2014,1/18/2014,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124.2,-2,0.4,-31.05
5466,CA-2014-146591,1/19/2014,1/20/2014,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,0.7,-320.597
5737,CA-2014-148614,1/20/2014,1/25/2014,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2,0,9.2928
6332,CA-2014-167927,1/20/2014,1/26/2014,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,0,12.7368
2579,US-2014-155502,1/26/2014,1/31/2014,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3,0,not_a_number
8150,CA-2014-167997,1/26/2014,1/29/2014,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,0,5.0196
6389,CA-2014-134103,1/30/2014,2/4/2014,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,2,0,6.8982
